piside: 515, score: 707.7656486172405, avg score: 620.7767512689095, best_score: 623.7224165011878
episide: 714, score: 467.78875885073484, avg score: 590.8729372453749, best_score: 650.8302795012576
episide: 715, score: 637.5461930062903, avg score: 590.8900922425867, best_score: 650.8302795012576
episide: 716, score: 725.9867376587348, avg score: 592.6588090621256, best_score: 650.8302795012576
episide: 717, score: 587.327218451425, avg score: 591.1688103321437, best_score: 650.8302795012576
episide: 718, score: 460.72425056275387, avg score: 586.8777567246563, best_score: 650.8302795012576
episide: 719, score: 693.2759786719403, avg score: 586.57449570799, best_score: 650.8302795012576
episide: 720, score: 513.8022026774789, avg score: 582.5772555417752, best_score: 650.8302795012576
episide: 721, score: 556.9548435202308, avg score: 580.7966950888929, best_score: 650.8302795012576
episide: 722, score: 538.2416739420254, avg score: 577.5019002242351, best_score: 650.8302795012576
episide: 723, score: 574.6928668955063, avg score: 577.5880249327012, best_score: 650.8302795012576
episide: 724, score: 529.2774021570891, avg score: 577.6003594225059, best_score: 650.8302795012576
episide: 725, score: 633.7161089022305, avg score: 577.1632977747378, best_score: 650.8302795012576
episide: 726, score: 675.9975322936388, avg score: 575.5777720837539, best_score: 650.8302795012576
episide: 727, score: 655.1481689040187, avg score: 574.4679942593556, best_score: 650.8302795012576
episide: 728, score: 325.7927891377149, avg score: 568.9382550395011, best_score: 650.8302795012576
episide: 729, score: 366.8875917634985, avg score: 566.6023253997912, best_score: 650.8302795012576
episide: 730, score: 499.1732618074426, avg score: 565.7527278014157, best_score: 650.8302795012576
episide: 731, score: 641.0042006273187, avg score: 567.9969133652796, best_score: 650.8302795012576
episide: 732, score: 491.2912595046314, avg score: 565.759503723061, best_score: 650.8302795012576
episide: 733, score: 715.949719019492, avg score: 569.0939402527138, best_score: 650.8302795012576
episide: 734, score: 397.52240910462945, avg score: 565.4762806888, best_score: 650.8302795012576
episide: 735, score: 741.4354378321459, avg score: 570.7647101604969, best_score: 650.8302795012576
episide: 736, score: 441.94535736650374, avg score: 570.0779089885435, best_score: 650.8302795012576
episide: 737, score: 438.0172036705778, avg score: 571.9907894329652, best_score: 650.8302795012576
episide: 738, score: 467.50140582125096, avg score: 571.7274764547166, best_score: 650.8302795012576
episide: 739, score: 452.83852293780313, avg score: 568.8013639069808, best_score: 650.8302795012576
episide: 740, score: 442.6914132503171, avg score: 564.2133851590445, best_score: 650.8302795012576
episide: 741, score: 375.4073375673169, avg score: 558.8344504164855, best_score: 650.8302795012576
episide: 742, score: 423.2680637946356, avg score: 555.2144299345712, best_score: 650.8302795012576
episide: 743, score: 359.4469416062173, avg score: 552.2568648530638, best_score: 650.8302795012576
episide: 744, score: 527.2349184448606, avg score: 554.3382556472369, best_score: 650.8302795012576
episide: 745, score: 600.0755546392844, avg score: 554.2974103611831, best_score: 650.8302795012576
episide: 746, score: 476.68182955764473, avg score: 556.8433865442872, best_score: 650.8302795012576
episide: 747, score: 473.3581637103313, avg score: 555.3655995785916, best_score: 650.8302795012576
episide: 748, score: 400.1665079451204, avg score: 553.1949383916717, best_score: 650.8302795012576
episide: 749, score: 589.5996498310436, avg score: 552.5796015195162, best_score: 650.8302795012576
episide: 750, score: 595.0709535467646, avg score: 557.811881807615, best_score: 650.8302795012576
episide: 751, score: 720.1492697544456, avg score: 560.2242353975556, best_score: 650.8302795012576
episide: 752, score: 584.9998609405566, avg score: 560.8032615597152, best_score: 650.8302795012576
episide: 753, score: 513.7536337743875, avg score: 558.2895661910754, best_score: 650.8302795012576
episide: 754, score: 539.7266807615796, avg score: 555.1528204155146, best_score: 650.8302795012576
episide: 755, score: 538.1943307208602, avg score: 552.1653849655486, best_score: 650.8302795012576
episide: 756, score: 591.1952432292397, avg score: 551.1906742144407, best_score: 650.8302795012576
episide: 757, score: 653.1822519123523, avg score: 551.9702919724614, best_score: 650.8302795012576
episide: 758, score: 493.1817437736855, avg score: 549.9310406240816, best_score: 650.8302795012576
episide: 759, score: 585.1562620172314, avg score: 547.5036542264016, best_score: 650.8302795012576
episide: 760, score: 581.2757830985489, avg score: 544.2735370032175, best_score: 650.8302795012576
episide: 761, score: 677.3300376963078, avg score: 546.5766702720539, best_score: 650.8302795012576
episide: 762, score: 494.18686776379093, avg score: 543.6454211318465, best_score: 650.8302795012576
episide: 763, score: 483.28692933042737, avg score: 538.9691864750812, best_score: 650.8302795012576
episide: 764, score: 606.3320693420061, avg score: 541.7400526849066, best_score: 650.8302795012576
episide: 765, score: 692.6672309640813, avg score: 542.8424734440623, best_score: 650.8302795012576
episide: 766, score: 497.0132751597563, avg score: 538.2630041940828, best_score: 650.8302795012576
episide: 767, score: 384.8765054349955, avg score: 534.2139899337542, best_score: 650.8302795012576
episide: 768, score: 474.51603492621035, avg score: 534.4898256210234, best_score: 650.8302795012576
episide: 769, score: 383.5609188952353, avg score: 528.2955244254892, best_score: 650.8302795012576
episide: 770, score: 118.54549378690005, avg score: 520.3903902476777, best_score: 650.8302795012576
episide: 771, score: 150.8117649994101, avg score: 512.2675286772612, best_score: 650.8302795012576
episide: 772, score: 170.91342604063308, avg score: 504.9209637192333, best_score: 650.8302795012576
episide: 773, score: 146.04439201488287, avg score: 496.3479942216209, best_score: 650.8302795012576
episide: 774, score: 327.1150416134207, avg score: 492.3047470107476, best_score: 650.8302795012576
episide: 775, score: 295.839375020608, avg score: 485.54721233311517, best_score: 650.8302795012576
episide: 776, score: 317.21700529682437, avg score: 478.3716017931789, best_score: 650.8302795012576
episide: 777, score: 180.94462966011397, avg score: 468.8875310083007, best_score: 650.8302795012576
episide: 778, score: 213.31885901446714, avg score: 466.63805240583577, best_score: 650.8302795012576
episide: 779, score: 338.7117270802536, avg score: 466.07453511217085, best_score: 650.8302795012576
episide: 780, score: 347.80373500595715, avg score: 463.04714457614114, best_score: 650.8302795012576
episide: 781, score: 419.71427312681146, avg score: 458.621346026131, best_score: 650.8302795012576
episide: 782, score: 474.81816794419507, avg score: 458.2918841949223, best_score: 650.8302795012576
episide: 783, score: 483.206644314257, avg score: 453.6370227008176, best_score: 650.8302795012576
episide: 784, score: 492.44450412029147, avg score: 455.53546460113085, best_score: 650.8302795012576
episide: 785, score: 463.19398691128424, avg score: 449.9706355827136, best_score: 650.8302795012576
episide: 786, score: 545.5272827932729, avg score: 452.042274091249, best_score: 650.8302795012576
episide: 787, score: 542.3559046069626, avg score: 454.12904810997674, best_score: 650.8302795012576
episide: 788, score: 482.48823983160753, avg score: 454.42878479018384, best_score: 650.8302795012576
episide: 789, score: 476.7674141096785, avg score: 454.9073626136214, best_score: 650.8302795012576
episide: 790, score: 380.4469677208779, avg score: 453.6624737030326, best_score: 650.8302795012576
episide: 791, score: 402.5349782291055, avg score: 454.20502651626833, best_score: 650.8302795012576
episide: 792, score: 452.00517857954276, avg score: 454.77976881196656, best_score: 650.8302795012576
episide: 793, score: 417.36246189325584, avg score: 455.93807921770735, best_score: 650.8302795012576
episide: 794, score: 433.3140450879154, avg score: 454.05966175056835, best_score: 650.8302795012576
episide: 795, score: 530.6815165096542, avg score: 452.6717809879758, best_score: 650.8302795012576
episide: 796, score: 466.39430435055766, avg score: 452.46603048383406, best_score: 650.8302795012576
episide: 797, score: 425.958532989173, avg score: 451.5180378694108, best_score: 650.8302795012576
episide: 798, score: 480.36435091880645, avg score: 453.1219947288846, best_score: 650.8302795012576
episide: 799, score: 539.0323945648067, avg score: 452.1106496235598, best_score: 650.8302795012576
episide: 800, score: 582.9356026116241, avg score: 451.86794260485703, best_score: 650.8302795012576
episide: 801, score: 581.7926001868749, avg score: 449.1008092135056, best_score: 650.8302795012576
episide: 802, score: 590.816941829351, avg score: 449.2171508312815, best_score: 650.8302795012576
episide: 803, score: 538.5866947601621, avg score: 449.7138120509969, best_score: 650.8302795012576
episide: 804, score: 604.6068244025097, avg score: 451.01141492381544, best_score: 650.8302795012576
episide: 805, score: 489.48530487644445, avg score: 450.0372344069272, best_score: 650.8302795012576
episide: 806, score: 473.4312571709262, avg score: 447.681954685761, best_score: 650.8302795012576
