step: 60, action: Close_NoOpen, current_price: 21190.34, current_worth: 999126.9982747425, realized_p: -873.0017252574571, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 61, action: Close_NoOpen, current_price: 20798.5, current_worth: 999126.9982747425, realized_p: -873.0017252574571, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 62, action: Close_NoOpen, current_price: 22422.05, current_worth: 999126.9982747425, realized_p: -873.0017252574571, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 63, action: Close_NoOpen, current_price: 23392.19, current_worth: 999126.9982747425, realized_p: -873.0017252574571, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 64, action: Close_NoOpen, current_price: 23225.6, current_worth: 999126.9982747425, realized_p: -873.0017252574571, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 65, action: Close_NoOpen, current_price: 23151.58, current_worth: 999126.9982747425, realized_p: -873.0017252574571, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 66, action: Close_NoOpen, current_price: 22684.3, current_worth: 999126.9982747425, realized_p: -873.0017252574571, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 67, action: Long_Open, current_price: 22449.31, current_worth: 999126.9982747425, realized_p: -873.0017252574571, open_positions_held: 1, quantity_held:4.450591124069036, open_original_value:99912.69982747427, open_current_value:99912.69982747427
step: 68, action: Close, current_price: 22591.28, current_worth: 999658.3041463773, realized_p: -341.69585362274734, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 69, action: Close_NoOpen, current_price: 21316.22, current_worth: 999658.3041463773, realized_p: -341.69585362274734, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 70, action: Hold, current_price: 21255.55, current_worth: 999658.3041463773, realized_p: -341.69585362274734, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 71, action: Close_NoOpen, current_price: 22958.18, current_worth: 999658.3041463773, realized_p: -341.69585362274734, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 72, action: Close_NoOpen, current_price: 23849.44, current_worth: 999658.3041463773, realized_p: -341.69585362274734, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 73, action: Close_NoOpen, current_price: 23782.99, current_worth: 999658.3041463773, realized_p: -341.69585362274734, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 74, action: Close_NoOpen, current_price: 23650.19, current_worth: 999658.3041463773, realized_p: -341.69585362274734, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 75, action: Close_NoOpen, current_price: 23304.65, current_worth: 999658.3041463773, realized_p: -341.69585362274734, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 76, action: Long_Open, current_price: 23275.88, current_worth: 999658.3041463773, realized_p: -341.69585362274734, open_positions_held: 1, quantity_held:4.294824961060021, open_original_value:99965.83041463773, open_current_value:99965.83041463773
step: 77, action: Close, current_price: 22990.75, current_worth: 998334.9794582567, realized_p: -1665.0205417432949, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 78, action: Close_NoOpen, current_price: 22824.55, current_worth: 998334.9794582567, realized_p: -1665.0205417432949, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 79, action: Close_NoOpen, current_price: 22622.27, current_worth: 998334.9794582567, realized_p: -1665.0205417432949, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 80, action: Close_NoOpen, current_price: 23317.38, current_worth: 998334.9794582567, realized_p: -1665.0205417432949, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 81, action: Close_NoOpen, current_price: 22959.28, current_worth: 998334.9794582567, realized_p: -1665.0205417432949, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 82, action: Close_NoOpen, current_price: 23177.81, current_worth: 998334.9794582567, realized_p: -1665.0205417432949, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 83, action: Close_NoOpen, current_price: 23816.87, current_worth: 998334.9794582567, realized_p: -1665.0205417432949, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 84, action: Close_NoOpen, current_price: 23155.85, current_worth: 998334.9794582567, realized_p: -1665.0205417432949, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 85, action: Long_Open, current_price: 23964.88, current_worth: 998334.9794582567, realized_p: -1665.0205417432949, open_positions_held: 1, quantity_held:4.165825071764418, open_original_value:99833.49794582567, open_current_value:99833.49794582567
step: 86, action: Close, current_price: 23940.07, current_worth: 998131.8951944005, realized_p: -1868.1048055995655, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 87, action: Long_Open, current_price: 24412.39, current_worth: 998131.8951944005, realized_p: -1868.1048055995655, open_positions_held: 1, quantity_held:4.0886283366536444, open_original_value:99813.18951944006, open_current_value:99813.18951944006
step: 88, action: Close, current_price: 24458.58, current_worth: 998220.7468940081, realized_p: -1779.2531059918244, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 89, action: Close_NoOpen, current_price: 24315.55, current_worth: 998220.7468940081, realized_p: -1779.2531059918244, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
