episide: 921, score: 276.4245462654723, avg score: 457.1602674993286, best_score: 482.917314414762
episide: 922, score: 325.76619197508103, avg score: 453.9355130355907, best_score: 482.917314414762
episide: 923, score: 368.04667445353226, avg score: 451.910795499099, best_score: 482.917314414762
episide: 924, score: 460.50091416406224, avg score: 451.70637797919125, best_score: 482.917314414762
episide: 925, score: 465.6495721165694, avg score: 451.9605004486222, best_score: 482.917314414762
episide: 926, score: 474.4198533812819, avg score: 452.34407166983715, best_score: 482.917314414762
episide: 927, score: 478.32517403758857, avg score: 452.623476420551, best_score: 482.917314414762
episide: 928, score: 488.9549273953785, avg score: 452.75205244063693, best_score: 482.917314414762
episide: 929, score: 492.54913294413825, avg score: 453.11540556655433, best_score: 482.917314414762
episide: 930, score: 487.8321545248485, avg score: 453.30178571691636, best_score: 482.917314414762
episide: 931, score: 482.6677703712402, avg score: 453.72867707671406, best_score: 482.917314414762
episide: 932, score: 494.816179338399, avg score: 453.94656913097015, best_score: 482.917314414762
episide: 933, score: 484.34244352446586, avg score: 454.51831931379985, best_score: 482.917314414762
episide: 934, score: 496.87498205589037, avg score: 454.77295507411986, best_score: 482.917314414762
episide: 935, score: 497.02971720239475, avg score: 454.9945388898217, best_score: 482.917314414762
episide: 936, score: 499.96167829630457, avg score: 455.24222964387707, best_score: 482.917314414762
episide: 937, score: 499.74020987786025, avg score: 455.4664750167314, best_score: 482.917314414762
episide: 938, score: 480.92595627008046, avg score: 455.66127312619346, best_score: 482.917314414762
episide: 939, score: 488.3782052282276, avg score: 455.63350244808584, best_score: 482.917314414762
episide: 940, score: 469.36490592359246, avg score: 455.12885352176056, best_score: 482.917314414762
episide: 941, score: 249.62035169371737, avg score: 450.449597726564, best_score: 482.917314414762
episide: 942, score: 278.9489796837036, avg score: 446.2276007590024, best_score: 482.917314414762
episide: 943, score: 313.79553055101195, avg score: 442.70997884143094, best_score: 482.917314414762
episide: 944, score: 355.5387066007763, avg score: 439.84268323062975, best_score: 482.917314414762
episide: 945, score: 451.3599456981481, avg score: 438.9007824958366, best_score: 482.917314414762
episide: 946, score: 470.24392736624264, avg score: 438.69462766252434, best_score: 482.917314414762
episide: 947, score: 464.23625748999467, avg score: 438.1391235877143, best_score: 482.917314414762
episide: 948, score: 482.39259030743415, avg score: 437.83339690214626, best_score: 482.917314414762
episide: 949, score: 494.37763617974, avg score: 437.76857988574807, best_score: 482.917314414762
episide: 950, score: 463.20606024311263, avg score: 437.08033135061737, best_score: 482.917314414762
episide: 951, score: 484.7608758566209, avg score: 436.93431116519974, best_score: 482.917314414762
episide: 952, score: 490.28452632584873, avg score: 437.15741031143045, best_score: 482.917314414762
episide: 953, score: 488.92230453906484, avg score: 436.95429588329114, best_score: 482.917314414762
episide: 954, score: 496.226359684517, avg score: 437.1287851447008, best_score: 482.917314414762
episide: 955, score: 499.2792011859118, avg score: 437.1819014056513, best_score: 482.917314414762
episide: 956, score: 499.62124538742296, avg score: 437.41312341059563, best_score: 482.917314414762
episide: 957, score: 498.7439173401814, avg score: 437.299238228089, best_score: 482.917314414762
episide: 958, score: 500.5548216661281, avg score: 437.4432259903746, best_score: 482.917314414762
episide: 959, score: 498.71527130907566, avg score: 437.47387818349415, best_score: 482.917314414762
episide: 960, score: 486.06611281929145, avg score: 437.0738901745279, best_score: 482.917314414762
episide: 961, score: 501.7069713196047, avg score: 436.9804098941409, best_score: 482.917314414762
episide: 962, score: 498.463111525074, avg score: 436.88117123127535, best_score: 482.917314414762
episide: 963, score: 485.32586777380396, avg score: 436.9152768355418, best_score: 482.917314414762
episide: 964, score: 468.9915217399301, avg score: 437.829057514847, best_score: 482.917314414762
episide: 965, score: 487.5290792896217, avg score: 442.8263073742672, best_score: 482.917314414762
episide: 966, score: 479.8128363508646, avg score: 446.4581601212731, best_score: 482.917314414762
episide: 967, score: 488.0978540269326, avg score: 450.0351346257293, best_score: 482.917314414762
episide: 968, score: 459.9681779147312, avg score: 453.23943538569074, best_score: 482.917314414762
episide: 969, score: 485.2266008521256, avg score: 456.53697969038416, best_score: 482.917314414762
episide: 970, score: 474.48288616437463, avg score: 460.1814143646284, best_score: 482.917314414762
episide: 971, score: 479.5041480790861, avg score: 464.2430064009006, best_score: 482.917314414762
episide: 972, score: 500.4612308855571, avg score: 467.7369071791101, best_score: 482.917314414762
episide: 973, score: 504.36826160503045, avg score: 470.4633389221401, best_score: 482.917314414762
episide: 974, score: 489.6553814808711, avg score: 471.0464282684763, best_score: 482.917314414762
episide: 975, score: 498.40517837964757, avg score: 471.70154039373773, best_score: 482.917314414762
episide: 976, score: 496.44881066104057, avg score: 472.142119539333, best_score: 482.917314414762
episide: 977, score: 499.04522797772285, avg score: 472.55652061813566, best_score: 482.917314414762
episide: 978, score: 481.2791196203954, avg score: 472.40300446263603, best_score: 482.917314414762
episide: 979, score: 494.9387607714324, avg score: 472.45079701918183, best_score: 482.917314414762
episide: 980, score: 498.1422319307843, avg score: 472.6569985673006, best_score: 482.917314414762
episide: 981, score: 507.2704429104588, avg score: 473.14905201808506, best_score: 482.917314414762
episide: 982, score: 482.74993939277584, avg score: 472.9077272191725, best_score: 482.917314414762
episide: 983, score: 496.5547775802362, avg score: 473.151973900288, best_score: 482.917314414762
episide: 984, score: 479.6378021899695, avg score: 472.8072303029696, best_score: 482.917314414762
episide: 985, score: 488.94186488330354, avg score: 472.6454732565877, best_score: 482.917314414762
episide: 986, score: 500.578587665872, avg score: 472.65781144397914, best_score: 482.917314414762
episide: 987, score: 499.55504026715806, avg score: 472.654108051765, best_score: 482.917314414762
episide: 988, score: 487.81451370034705, avg score: 472.7918792003704, best_score: 482.917314414762
episide: 989, score: 473.661310205412, avg score: 472.49754129991396, best_score: 482.917314414762
episide: 990, score: 470.1176885037105, avg score: 472.5125969515164, best_score: 482.917314414762
episide: 991, score: 489.07562302082385, avg score: 477.30170237805845, best_score: 482.917314414762
episide: 992, score: 486.13823062472653, avg score: 481.44548739687895, best_score: 482.917314414762
saving models ...
episide: 993, score: 496.6915455728417, avg score: 485.1034076973155, best_score: 485.1034076973155
saving models ...
episide: 994, score: 482.3580380013087, avg score: 487.6397943253262, best_score: 487.6397943253262
saving models ...
episide: 995, score: 476.0405977920199, avg score: 488.13340736720363, best_score: 488.13340736720363
saving models ...
episide: 996, score: 480.09604541253054, avg score: 488.3304497281294, best_score: 488.3304497281294
episide: 997, score: 403.62415640996744, avg score: 487.1182077065289, best_score: 488.3304497281294
episide: 998, score: 351.0013185237043, avg score: 484.4903822708543, best_score: 488.3304497281294
episide: 999, score: 344.9252576797375, avg score: 481.5013347008542, best_score: 488.3304497281294
episide: 1000, score: 342.5443108523408, avg score: 479.08809971303873, best_score: 488.3304497281294
episide: 1001, score: 343.4183858223217, avg score: 476.2612499123528, best_score: 488.3304497281294
episide: 1002, score: 340.68385433311437, avg score: 473.26923647249816, best_score: 488.3304497281294
episide: 1003, score: 342.65800722371443, avg score: 470.3439505261911, best_score: 488.3304497281294
episide: 1004, score: 354.01611494793616, avg score: 467.4997456314595, best_score: 488.3304497281294
episide: 1005, score: 367.17602449431865, avg score: 464.8576820976276, best_score: 488.3304497281294
episide: 1006, score: 365.8585443972236, avg score: 462.18242807782354, best_score: 488.3304497281294
episide: 1007, score: 371.4020266540345, avg score: 459.6355902641007, best_score: 488.3304497281294
episide: 1008, score: 370.8418521583024, avg score: 457.04133087394416, best_score: 488.3304497281294
episide: 1009, score: 371.2935263011024, avg score: 454.4928959737847, best_score: 488.3304497281294
episide: 1010, score: 369.95135836760255, avg score: 452.1706008847509, best_score: 488.3304497281294
episide: 1011, score: 374.0544828873269, avg score: 449.6175511161054, best_score: 488.3304497281294
episide: 1012, score: 368.7149711539338, avg score: 447.0225883086826, best_score: 488.3304497281294
episide: 1013, score: 357.3251192698273, avg score: 444.462573338603, best_score: 488.3304497281294
episide: 1014, score: 353.5483204873963, avg score: 442.1537093135523, best_score: 488.3304497281294
episide: 1015, score: 370.88403598682635, avg score: 439.82080844749646, best_score: 488.3304497281294
episide: 1016, score: 373.6601763364518, avg score: 437.69775524720825, best_score: 488.3304497281294
episide: 1017, score: 380.5066297169615, avg score: 435.5459307610088, best_score: 488.3304497281294
episide: 1018, score: 344.5253459442144, avg score: 433.2370741215985, best_score: 488.3304497281294
episide: 1019, score: 375.3470032473126, avg score: 431.03948216950215, best_score: 488.3304497281294
episide: 1020, score: 368.6851424116233, avg score: 428.92352729444724, best_score: 488.3304497281294
episide: 1021, score: 374.69720061705226, avg score: 426.8273883452065, best_score: 488.3304497281294
episide: 1022, score: 371.48013193997275, avg score: 424.2477663662948, best_score: 488.3304497281294
episide: 1023, score: 368.92656792583426, avg score: 421.5389324927109, best_score: 488.3304497281294
episide: 1024, score: 391.59625680344647, avg score: 419.5777499991624, best_score: 488.3304497281294
episide: 1025, score: 383.6190283677285, avg score: 417.282026998924, best_score: 488.3304497281294
episide: 1026, score: 395.7892656880523, avg score: 415.26883609946424, best_score: 488.3304497281294
episide: 1027, score: 387.5742768588018, avg score: 413.03941707708583, best_score: 488.3304497281294
episide: 1028, score: 397.41664189896863, avg score: 411.36216752265733, best_score: 488.3304497281294
episide: 1029, score: 435.3091781927502, avg score: 410.1695758710837, best_score: 488.3304497281294
episide: 1030, score: 418.7646402936541, avg score: 408.5820240383411, best_score: 488.3304497281294
episide: 1031, score: 409.32538160162005, avg score: 406.62312281216424, best_score: 488.3304497281294
episide: 1032, score: 393.76484606798203, avg score: 404.84342094566836, best_score: 488.3304497281294
episide: 1033, score: 397.51218024115735, avg score: 402.86256899888673, best_score: 488.3304497281294
episide: 1034, score: 401.6594436215541, avg score: 401.30300182751836, best_score: 488.3304497281294
episide: 1035, score: 406.90753908746524, avg score: 399.66231531160173, best_score: 488.3304497281294
episide: 1036, score: 414.8135179803022, avg score: 397.9470139178904, best_score: 488.3304497281294
episide: 1037, score: 414.056668704661, avg score: 396.2370464866404, best_score: 488.3304497281294
episide: 1038, score: 407.9532477615932, avg score: 394.6398211678653, best_score: 488.3304497281294
episide: 1039, score: 260.1368046292079, avg score: 390.36933105634125, best_score: 488.3304497281294
episide: 1040, score: 242.03508629691555, avg score: 385.8076790122054, best_score: 488.3304497281294
episide: 1041, score: 328.5069321485071, avg score: 382.596305194759, best_score: 488.3304497281294
episide: 1042, score: 437.63467568415723, avg score: 381.62623409594767, best_score: 488.3304497281294
episide: 1043, score: 444.6231934215869, avg score: 380.5848670529225, best_score: 488.3304497281294
episide: 1044, score: 453.5190432499489, avg score: 380.0080871578954, best_score: 488.3304497281294
episide: 1045, score: 451.1511956080803, avg score: 379.5102991142165, best_score: 488.3304497281294
episide: 1046, score: 454.59869961357805, avg score: 379.0003521982375, best_score: 488.3304497281294
episide: 1047, score: 457.5152456207812, avg score: 380.07817398245373, best_score: 488.3304497281294
episide: 1048, score: 454.5999659469335, avg score: 382.15014693091837, best_score: 488.3304497281294
episide: 1049, score: 423.7171899747698, avg score: 383.725985576819, best_score: 488.3304497281294
episide: 1050, score: 395.6027313749866, avg score: 384.7871539872719, best_score: 488.3304497281294
episide: 1051, score: 343.42279903660733, avg score: 384.78724225155764, best_score: 488.3304497281294
episide: 1052, score: 454.9619482603051, avg score: 387.0728041301014, best_score: 488.3304497281294
episide: 1053, score: 456.29782204029846, avg score: 389.34560042643307, best_score: 488.3304497281294
episide: 1054, score: 464.1967457475352, avg score: 391.5492130424251, best_score: 488.3304497281294
episide: 1055, score: 450.1243794590837, avg score: 393.20818014172045, best_score: 488.3304497281294
episide: 1056, score: 467.85215048872755, avg score: 395.2480522635505, best_score: 488.3304497281294
episide: 1057, score: 466.12725103371514, avg score: 397.14255675114407, best_score: 488.3304497281294
episide: 1058, score: 464.20865170203245, avg score: 399.0098927420186, best_score: 488.3304497281294
episide: 1059, score: 472.95784597507645, avg score: 401.0431791354981, best_score: 488.3304497281294
episide: 1060, score: 439.3735883757288, avg score: 402.4316237356607, best_score: 488.3304497281294
episide: 1061, score: 454.33031128660866, avg score: 404.0371403036463, best_score: 488.3304497281294
episide: 1062, score: 473.6663017655577, avg score: 406.1361669158788, best_score: 488.3304497281294
episide: 1063, score: 446.14256160416767, avg score: 407.9125157625656, best_score: 488.3304497281294
episide: 1064, score: 397.8592191380204, avg score: 408.7987337355781, best_score: 488.3304497281294
episide: 1065, score: 395.9145346073726, avg score: 409.29934370798895, best_score: 488.3304497281294
episide: 1066, score: 389.0950901517881, avg score: 409.6080419842957, best_score: 488.3304497281294
episide: 1067, score: 459.9859743933005, avg score: 411.1976288778225, best_score: 488.3304497281294
episide: 1068, score: 425.95951855861654, avg score: 412.8263123301105, best_score: 488.3304497281294
episide: 1069, score: 437.8719015851771, avg score: 414.07681029686785, best_score: 488.3304497281294
episide: 1070, score: 457.4583034850014, avg score: 415.8522735183353, best_score: 488.3304497281294
episide: 1071, score: 428.6332850424913, avg score: 416.93099520684416, best_score: 488.3304497281294
episide: 1072, score: 385.71919437616134, avg score: 417.21577645556795, best_score: 488.3304497281294
episide: 1073, score: 448.8622772919583, avg score: 418.81449064289046, best_score: 488.3304497281294
episide: 1074, score: 494.1278947349483, avg score: 420.86512340152046, best_score: 488.3304497281294
episide: 1075, score: 477.52050347857164, avg score: 422.74315290373744, best_score: 488.3304497281294
episide: 1076, score: 472.65615686988076, avg score: 424.2804907273739, best_score: 488.3304497281294
episide: 1077, score: 491.58156476489523, avg score: 426.36063648549583, best_score: 488.3304497281294
episide: 1078, score: 483.63375852259617, avg score: 428.08497881796836, best_score: 488.3304497281294
episide: 1079, score: 477.5753681626622, avg score: 428.9303026173665, best_score: 488.3304497281294
episide: 1080, score: 482.6961027075674, avg score: 430.20893186564484, best_score: 488.3304497281294
episide: 1081, score: 492.4322243448559, avg score: 431.8710687205095, best_score: 488.3304497281294
episide: 1082, score: 490.7873569356528, avg score: 433.81151893786296, best_score: 488.3304497281294
episide: 1083, score: 497.36246862050956, avg score: 435.80852470545005, best_score: 488.3304497281294
episide: 1084, score: 483.06233628737596, avg score: 437.43658255876653, best_score: 488.3304497281294
episide: 1085, score: 483.42305929399805, avg score: 438.96689296289713, best_score: 488.3304497281294
episide: 1086, score: 466.7744731504114, avg score: 440.00611206629924, best_score: 488.3304497281294
episide: 1087, score: 449.8708375888179, avg score: 440.7223954439823, best_score: 488.3304497281294
episide: 1088, score: 435.592912421019, avg score: 441.2751887371709, best_score: 488.3304497281294
episide: 1089, score: 461.5853214244774, avg score: 445.3041590730764, best_score: 488.3304497281294
episide: 1090, score: 374.52194267858454, avg score: 447.9538962007097, best_score: 488.3304497281294
episide: 1091, score: 442.1211137475252, avg score: 450.22617983269004, best_score: 488.3304497281294
episide: 1092, score: 474.6185261386934, avg score: 450.96585684178075, best_score: 488.3304497281294
episide: 1093, score: 503.46275601462156, avg score: 452.1426480936414, best_score: 488.3304497281294
episide: 1094, score: 509.4820312388495, avg score: 453.26190785341953, best_score: 488.3304497281294
episide: 1095, score: 513.0905815268987, avg score: 454.50069557179586, best_score: 488.3304497281294
episide: 1096, score: 507.43920964747736, avg score: 455.5575057724738, best_score: 488.3304497281294
episide: 1097, score: 487.7873011267982, avg score: 456.1629468825942, best_score: 488.3304497281294
episide: 1098, score: 480.13895721421017, avg score: 456.6737267079397, best_score: 488.3304497281294
episide: 1099, score: 505.5969473160944, avg score: 458.3113218547662, best_score: 488.3304497281294
episide: 1100, score: 490.76916679157256, avg score: 460.21465056309796, best_score: 488.3304497281294
episide: 1101, score: 490.64268493082665, avg score: 463.1590482809823, best_score: 488.3304497281294
episide: 1102, score: 492.52968141547063, avg score: 463.91040294408566, best_score: 488.3304497281294
episide: 1103, score: 510.3745903582572, avg score: 464.9919383104448, best_score: 488.3304497281294
episide: 1104, score: 487.30210854510943, avg score: 465.4540455663963, best_score: 488.3304497281294
